noc_code,Occupation Name (Unit Group),Skill Type,Major Group,Minor Group,Skill Level,Total Employed (Canada 2015),Median Income (Canada 2015),Average Income (Canada 2015),Total Employed (Ontario 2015),Median Income (Ontario 2015),Average Income (Ontario 2015),Average Income Difference,Average Income Canadian Ratio,Future Labour Market Conditions (National 2013-2026)
0011,Legislators,0 Management occupations,00 Senior management occupations,001 Legislators and senior management,A,7990,39203,57060,2000,33654,55167,-1893,-0.03317560462670873,NA
0012,Senior government managers and officials,0 Management occupations,00 Senior management occupations,001 Legislators and senior management,A,18200,103666,115336,5910,116315,129700,14364,0.12454047305264618,NA
0013,"Senior managers - financial, communications and other business services",0 Management occupations,00 Senior management occupations,001 Legislators and senior management,A,57935,115341,216584,26560,129058,246765,30181,0.1393500904960662,NA
0014,"Senior managers - health, education, social and community services and membership organizations",0 Management occupations,00 Senior management occupations,001 Legislators and senior management,A,26455,82409,104525,10070,94339,120652,16127,0.15428844773977518,NA
0015,"Senior managers - trade, broadcasting and other services, n.e.c.",0 Management occupations,00 Senior management occupations,001 Legislators and senior management,A,47890,76666,159981,17520,98662,193895,33914,0.21198767353623243,NA
0016,"Senior managers - construction, transportation, production and utilities",0 Management occupations,00 Senior management occupations,001 Legislators and senior management,A,56430,97691,190860,19355,112871,217607,26747,0.1401393691711202,NA
0111,Financial managers,0 Management occupations,01-05 Specialized middle management occupations,011 Administrative services managers,A,75350,84313,105248,34005,88232,112384,7136,0.06780176345393736,Balance
0112,Human resources managers,0 Management occupations,01-05 Specialized middle management occupations,011 Administrative services managers,A,50420,83127,92727,20745,84238,93914,1187,0.012801018042209927,Balance
0113,Purchasing managers,0 Management occupations,01-05 Specialized middle management occupations,011 Administrative services managers,A,21930,85222,98159,9480,88162,97907,-252,-0.0025672633176784605,Balance
0114,Other administrative services managers,0 Management occupations,01-05 Specialized middle management occupations,011 Administrative services managers,A,32565,72602,90504,12590,75062,95003,4499,0.04971051003270573,NA
0121,"Insurance, real estate and financial brokerage managers",0 Management occupations,01-05 Specialized middle management occupations,012 Managers in financial and business services,A,29545,83318,134787,13600,88243,158945,24158,0.1792309347340619,Balance
0122,"Banking, credit and other investment managers",0 Management occupations,01-05 Specialized middle management occupations,012 Managers in financial and business services,A,62650,79735,102313,30200,83020,113136,10823,0.10578323380215612,Balance
0124,"Advertising, marketing and public relations managers",0 Management occupations,01-05 Specialized middle management occupations,012 Managers in financial and business services,A,67915,70492,83186,34845,74907,87832,4646,0.055850744115596374,Balance
0125,Other business services managers,0 Management occupations,01-05 Specialized middle management occupations,012 Managers in financial and business services,A,21100,54149,73914,9405,53816,72179,-1735,-0.023473225640609358,NA
0131,Telecommunication carriers managers,0 Management occupations,01-05 Specialized middle management occupations,013 Managers in communication (except broadcasting),A,14235,89535,99521,6415,92338,101143,1622,0.016298067744496138,NA
0132,Postal and courier services managers,0 Management occupations,01-05 Specialized middle management occupations,013 Managers in communication (except broadcasting),A,3570,59083,65852,1790,64208,71237,5385,0.08177428172265079,NA
0211,Engineering managers,0 Management occupations,01-05 Specialized middle management occupations,"021 Managers in engineering, architecture, science and information systems",A,19730,112878,132409,8655,113101,126460,-5949,-0.04492897008511506,Balance
0212,Architecture and science managers,0 Management occupations,01-05 Specialized middle management occupations,"021 Managers in engineering, architecture, science and information systems",A,8970,93471,108383,3750,98285,111667,3284,0.030299954789957836,NA
0213,Computer and information systems managers,0 Management occupations,01-05 Specialized middle management occupations,"021 Managers in engineering, architecture, science and information systems",A,63470,99688,109681,31475,104370,113882,4201,0.03830198484696529,Balance
0311,Managers in health care,0 Management occupations,01-05 Specialized middle management occupations,031 Managers in health care,A,32565,85914,87236,12685,87685,90241,3005,0.03444678802329314,Balance
0411,Government managers - health and social policy development and program administration,0 Management occupations,01-05 Specialized middle management occupations,041 Managers in public administration,A,5485,102708,102989,2485,109541,107898,4909,0.04766528464204915,NA
0412,"Government managers - economic analysis, policy development and program administration",0 Management occupations,01-05 Specialized middle management occupations,041 Managers in public administration,A,7850,100484,106249,3060,106446,112760,6511,0.06128057675836949,NA
0413,Government managers - education policy development and program administration,0 Management occupations,01-05 Specialized middle management occupations,041 Managers in public administration,A,1315,85365,85581,365,87356,89933,4352,0.05085240882906253,NA
0414,Other managers in public administration,0 Management occupations,01-05 Specialized middle management occupations,041 Managers in public administration,A,8775,89864,90831,2960,98150,97373,6542,0.07202386850304411,NA
